# ADR-012: a rule id is allocated once and never re-purposed.
#
# One line per allocated id: `<id> <concept>`. The concept is a stable slug for what the rule
# means, and it is what makes this file more than a list of numbers — a baseline is a set of
# (rule, file, hash) tuples, so a redefined rule silently un-suppresses or wrongly suppresses
# findings in every repository that has one.
#
# RuleCatalogTests.RuleIds_AreAppendOnly asserts that every line here is still present in
# rules.json with the same concept. A line is never deleted.
#
# ⚠ A line may carry a `retired` marker after its concept, and retirement has two shapes that are
# not interchangeable:
#
#   * Retired AFTER shipping — the rules.json entry stays and carries `"retired": true`. The
#     descriptor survives disabled, so nothing new is reported but `dotnet_diagnostic.<id>.severity`
#     still resolves instead of dangling, and docs/rules/<id>.md stays as a tombstone an old finding
#     can be looked up in. SK1020 and SK1034 are this kind (#281).
#   * Retired BEFORE it was ever built — there is no rules.json entry to flag, so this file is the
#     only record. SK6001 is this kind, and it is why the marker exists at all.
#
# RuleCatalogTests.RetiredIds_AreRecordedInTheRegister_AndNeverShip asserts both shapes, and asserts
# the consequence rather than the flag: a retired id's descriptor is not enabled by default.
SK0001 file-is-not-formatted
SK2110 tostring-can-return-null
SK2111 inert-null-suppression
SK2112 nullable-local-never-null
SK2113 null-forgiven-service-resolution
SK5010 regex-without-timeout
SK1090 computed-property
SK1091 private-auto-property
SK1092 tuple-literal
SK1093 cast-in-declaration
SK1094 nullable-annotation-syntax
SK3050 async-void-throw
SK3051 async-method-without-cancellation
SK3052 async-void-lambda
SK2140 overridden-parameter-default
SK2141 restated-caller-info-argument
SK2142 overwritten-parameter
SK2143 crosswise-argument-order
SK2160 static-clock-read
SK2161 unspecified-date-time-kind
SK2162 implicit-date-parse-culture
SK2163 wall-clock-elapsed
SK2164 side-effect-in-assertion
SK1080 of-type-over-filter-and-cast
SK1081 redundant-sequence-call
SK1082 indexer-over-element-at
SK1083 foreach-over-indexed-for
SK1084 loop-filter-as-query
SK2130 forward-static-initializer
SK2131 unassigned-get-only-property
SK2132 mismatched-backing-field
SK2133 unimplemented-partial-method
SK2134 instance-write-to-static
SK3060 unreleased-lock
SK3061 ineffective-lock-target
SK3062 constructor-publishes-this
SK2180 foreach-element-downcast
SK2181 get-type-on-a-type
SK2182 type-compared-by-name
SK2183 static-member-via-derived-type
SK2184 hidden-base-interface-overload
SK6060 invariant-type-parameter
SK6061 caller-info-parameter-not-last
SK6062 write-only-local-collection
SK2190 struct-key-without-equality
SK2191 readonly-receiver-mutation
SK2192 span-reference-comparison
SK2193 immutable-array-collection-initializer
SK2194 mutable-captured-primary-parameter
SK3540 dispose-method-without-interface
SK3541 short-lived-http-client
SK3542 dangerous-handle-without-ref-count
SK4040 copying-property
SK4041 unread-string-builder
SK0250 redundant-discard-designation
SK2200 overwritten-field-initializer
SK2201 anonymous-unsubscription
SK2202 conditional-invocation-side-effect
SK2170 misleading-body-indentation
SK2171 variable-length-hex-escape
SK2172 forgiven-is-operand
SK2173 negated-empty-pattern
SK2174 unparenthesised-precedence-mix
SK5030 xml-signature-unverified-key
SK5020 predictable-cipher-initialization-vector
SK5021 undersized-asymmetric-key
SK1100 single-use-temporary
SK1101 split-declaration-and-assignment
SK1102 local-function-before-jump
SK1103 shared-branch-tail
SK2210 invalid-constant-index-or-range
SK2211 unchanging-loop-condition
SK2212 single-iteration-loop
SK2213 index-of-compared-to-positive
SK2220 dead-conditional-call
SK2221 unsafe-accessor-target-mismatch
SK2222 partially-checked-operator-set
SK2240 with-expression-rewrites-all
SK2241 malformed-regex-pattern
SK2242 deferred-argument-check
SK1004 ungrouped-extension-methods
SK1110 constant-forwarding-overload
SK1120 reflective-type-test
SK1121 mergeable-try
SK1122 reordered-anonymous-type
SK1123 merged-property-pattern
SK2230 sql-fragments-run-together
SK2231 command-parameter-not-supplied
SK2232 assembly-loaded-outside-its-context
SK2233 mistaken-type-argument
SK5040 xml-resolver-reenabled
SK5041 fixed-key-derivation-salt
SK5042 world-writable-file-mode
SK0260 redundant-boolean-expression
SK0261 redundant-attribute-detail
SK1130 constant-pattern-over-sequence-equal
